customer_id,gender,married,dependents,senior_citizen,tenure,phone_service,internet_service,paperless_billing,contract_type,payment_method,monthly_charges,total_charges,churn
0002-ORFBO,Female,Yes,Yes,No,9,Yes,DSL,Yes,Annually,Check,65.6,593.3,No
0003-MKNFE,Male,No,No,No,9,Yes,DSL,No,Monthly,Check,59.9,542.4,No
0004-TLHLJ,Male,No,No,No,4,Yes,Fiber,Yes,Monthly,eCheck,73.9,280.85,Yes
0011-IGKFF,Male,Yes,No,Yes,13,Yes,Fiber,Yes,Monthly,eCheck,98,1237.85,Yes
0013-EXCHZ,Female,Yes,No,Yes,3,Yes,Fiber,Yes,Monthly,Check,83.9,267.4,Yes
0013-MHZWF,Female,No,Yes,No,9,Yes,DSL,Yes,Monthly,Credit (auto),69.4,571.45,No
0013-SMEOE,Female,Yes,No,Yes,71,Yes,Fiber,Yes,Biannually,Wire (auto),109.7,7904.25,No
0014-BMAQU,Male,Yes,No,No,63,Yes,Fiber,Yes,Biannually,Credit (auto),84.65,5377.8,No
0015-UOCOJ,Female,No,No,Yes,7,Yes,DSL,Yes,Monthly,eCheck,48.2,340.35,No
0016-QLJIS,Female,Yes,Yes,No,65,Yes,DSL,Yes,Biannually,Check,90.45,5957.9,No
0017-DINOC,Male,No,No,No,54,No,DSL,No,Biannually,Credit (auto),45.2,2460.55,No
0017-IUDMW,Female,Yes,Yes,No,72,Yes,Fiber,Yes,Biannually,Credit (auto),116.8,8456.75,No
0018-NYROU,Female,Yes,No,No,5,Yes,Fiber,Yes,Monthly,eCheck,68.95,351.5,No
0019-EFAEP,Female,No,No,No,72,Yes,Fiber,Yes,Biannually,Wire (auto),101.3,7261.25,No
0019-GFNTW,Female,No,No,No,56,No,DSL,No,Biannually,Wire (auto),45.05,2560.1,No
0020-INWCK,Female,Yes,Yes,No,71,Yes,Fiber,Yes,Biannually,Credit (auto),95.75,6849.4,No
0020-JDNXP,Female,Yes,Yes,No,34,No,DSL,No,Annually,Check,61.25,1993.2,No
0021-IKXGC,Female,No,No,Yes,1,Yes,Fiber,Yes,Monthly,eCheck,72.1,72.1,No
0022-TCJCI,Male,No,No,Yes,45,Yes,DSL,No,Annually,Credit (auto),62.7,2791.5,Yes
0023-HGHWL,Male,No,No,Yes,1,No,DSL,Yes,Monthly,eCheck,25.1,25.1,Yes
0023-UYUPN,Female,Yes,No,Yes,50,Yes,No,No,Annually,eCheck,25.2,1306.3,No
0023-XUOPT,Female,Yes,No,No,13,Yes,Fiber,No,Monthly,eCheck,94.1,1215.6,Yes
0027-KWYKW,Female,Yes,Yes,No,23,Yes,Fiber,Yes,Monthly,eCheck,83.75,1849.95,No
0030-FNXPP,Female,No,No,No,3,Yes,No,No,Monthly,Check,19.85,57.2,No
0031-PVLZI,Female,Yes,Yes,No,4,Yes,No,No,Monthly,Check,20.35,76.35,Yes
0032-PGELS,Female,Yes,Yes,No,1,No,DSL,No,Monthly,Wire (auto),30.5,30.5,Yes
0036-IHMOT,Female,Yes,Yes,No,55,Yes,Fiber,Yes,Annually,Wire (auto),103.7,5656.75,No
0040-HALCW,Male,Yes,Yes,No,54,Yes,No,No,Biannually,Credit (auto),20.4,1090.6,No
0042-JVWOJ,Male,No,No,No,26,Yes,No,Yes,Annually,Wire (auto),19.6,471.85,No
0042-RLHYP,Female,Yes,Yes,No,69,Yes,No,No,Biannually,Wire (auto),19.7,1396.9,No
0048-LUMLS,Male,Yes,Yes,No,37,Yes,Fiber,No,Annually,Credit (auto),91.2,3247.55,No
0048-PIHNL,Female,Yes,No,No,49,Yes,No,No,Annually,Wire (auto),20.45,900.9,No
0052-DCKON,Male,Yes,No,No,66,Yes,Fiber,No,Annually,Wire (auto),115.8,7942.15,No
0052-YNYOT,Female,No,No,No,67,Yes,No,No,Annually,eCheck,20.55,1343.4,No
0056-EPFBG,Male,Yes,Yes,No,20,No,DSL,Yes,Biannually,Credit (auto),39.4,825.4,No
0057-QBUQH,Female,No,Yes,No,43,Yes,No,Yes,Biannually,eCheck,25.1,1070.15,No
0058-EVZWM,Female,Yes,No,No,55,Yes,Fiber,Yes,Monthly,Wire (auto),89.8,4959.6,No
0060-FUALY,Female,Yes,No,No,59,Yes,Fiber,Yes,Monthly,eCheck,94.75,5597.65,No
0064-SUDOG,Female,Yes,Yes,No,12,Yes,No,No,Biannually,Wire (auto),20.3,224.5,No
0064-YIJGF,Male,Yes,Yes,No,27,Yes,Fiber,Yes,Monthly,Wire (auto),75.75,1929,No
0067-DKWBL,Male,No,No,Yes,2,Yes,DSL,Yes,Monthly,eCheck,49.25,91.1,Yes
0068-FIGTF,Female,No,No,No,27,Yes,DSL,No,Annually,Check,78.2,2078.95,No
0071-NDAFP,Male,Yes,Yes,No,25,Yes,No,No,Biannually,Credit (auto),25.5,630.6,No
0074-HDKDG,Male,Yes,Yes,No,25,Yes,DSL,Yes,Annually,Wire (auto),61.6,1611,No
0076-LVEPS,Male,No,Yes,No,29,No,DSL,Yes,Monthly,Check,45,1242.45,No
0078-XZMHT,Male,Yes,No,No,72,Yes,DSL,Yes,Biannually,Wire (auto),85.15,6316.2,No
0080-EMYVY,Female,No,No,No,14,Yes,DSL,No,Annually,Credit (auto),51.45,727.85,No
